"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Primary Energy|Coal","EJ/yr",0.213753545,0.221835172,0.221720481,0.245743907,0.284367767,0.330602751,0.376784274,0.425783908,0.470601854,0.511507228,0.544712493,0.562918531,0.566468752,0.57862097,0.599520865,0.625337292,0.642147629
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry","EJ/yr",1.582309618,1.830415674,2.135280889,2.499086091,2.862372938,3.209653954,3.552150996,3.883250583,4.18953362,4.475183442,4.730422892,4.946332676,5.143123972,5.306927485,5.427019722,5.536001612,5.589420548
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Coal","EJ/yr",0.0666978,0.073192,0.075658584,0.085256731,0.094410353,0.102191172,0.109313191,0.119652216,0.133714257,0.147822314,0.162510401,0.174214519,0.180808671,0.189795871,0.20210704,0.2132783,0.221174662
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Gas","EJ/yr",0.917666,1.038582,1.13988457,1.32502743,1.541224996,1.766037763,1.994023968,2.281507036,2.578691338,2.780779782,2.943690056,3.094001604,3.227362979,3.340183355,3.446520005,3.527896841,3.548431947
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Primary Energy|Gas","EJ/yr",3.538940443,3.824859099,4.167529886,4.803590043,5.462323318,6.103346382,6.691945491,7.297667421,7.823585511,8.174886481,8.44102327,8.695760249,8.944325975,9.1816112,9.397575017,9.549998054,9.585332427
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Residential and Commercial","EJ/yr",1.649372805,1.870344119,2.181460335,2.587431498,2.961151332,3.277788938,3.561285338,3.808560714,4.015561831,4.189620706,4.3275637,4.425007679,4.497537439,4.544566093,4.555758475,4.567934754,4.595341208
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Biomass","EJ/yr",0.00130198,0.002430068,0.003667256,0.004695913,0.005660902,0.00582692,0.006211587,0.008076184,0.012018805,0.016068695,0.02133567,0.026199947,0.031933762,0.03913373,0.048182245,0.060002115,0.07470113
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Industry|Non-ferrous metals","EJ/yr",0.018735618,0.024812452,0.03211909,0.039722958,0.047100681,0.053832622,0.059765388,0.064796599,0.06875657,0.071614955,0.073290599,0.073868899,0.073629758,0.072736308,0.071392339,0.069476888,0.067319771
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Final Energy|Transportation|Aviation|Passenger","EJ/yr",0.1224371,0.146433,0.1765354,0.213073655,0.264107954,0.314454245,0.366097214,0.416221192,0.458428386,0.498385659,0.538674876,0.578778509,0.621919302,0.664752552,0.704046594,0.750897042,0.788270896
"GCAM 6.0 NGFS","Current Policies","GCAM 6.0 NGFS|Africa_Northern","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.166209627,0.506885888,0.941739243,1.306662964,1.664377734,1.99818381,2.31355381,2.48975737,2.676644617,2.94639467,3.22949666,3.50521198,3.77261677,3.99794702,4.17434728,4.35877909,4.5369319
