country,sector_id,sector,gross_output,labor_share,cap_share,II_share,materials_share_II,services_share_II,energy_share_II,Kq_GFCF,H_EMP
FR,28,9-other|manufacturing_mining|misc,31759.711314154,0.226633170005832,0.102309578325566,0.671057251668602,0.412454959790885,0.531060553444329,0.0564844867647852,155691.007384353,2524945
HR,28,9-other|manufacturing_mining|misc,939.903182308406,0.249613191126248,0.0907715229361822,0.659615285676213,0.411567327644265,0.532228246466085,0.0562044258896492,32766.2861899121,373177
HU,28,9-other|manufacturing_mining|misc,2387.77078298989,0.162535235355315,0.172068119212956,0.665396645431729,0.398293149806946,0.549690620817001,0.0520162293760524,17178228.8964777,598340
IE,28,9-other|manufacturing_mining|misc,9276.0470852857,0.208788094066979,0.146069113427278,0.645142793919813,0.385092750125344,0.567055938929118,0.0478513109455381,81725.0983924861,282221
IT,28,9-other|manufacturing_mining|misc,36512.036207709,0.18410294775879,0.125852071589177,0.690044980491463,0.406024229849333,0.539520272378735,0.0544554977719322,794360.813642484,2477727
JP,28,9-other|manufacturing_mining|misc,92099.749134436,0.181543495724821,0.0794827286443371,0.602452343848297,0.397891101572002,0.550219521127948,0.0518893773000498,6678898.84313541,8089429.57910156
LT,28,9-other|manufacturing_mining|misc,2697.4136049602,0.20851605298677,0.171338824960458,0.620145118750688,0.384714505493541,0.567553525253311,0.0477319692531475,21323.7061840663,285283
LU,28,9-other|manufacturing_mining|misc,1129.454878257,0.157398707824234,0.135272242901457,0.707162902557345,0.395250802229853,0.553692873381936,0.0510563243882111,2534.47415261331,
LV,28,9-other|manufacturing_mining|misc,3407.75662854644,0.314528204633731,0.178026439361761,0.507441926073735,0.3893465265313,0.561460034089192,0.0491934393795086,9247.64190007173,321148.023151342
MT,28,9-other|manufacturing_mining|misc,333.633967948486,0.201341631863797,0.110897918130847,0.687760450005356,0.391598762569619,0.558497184765509,0.0499040526648726,,
NL,28,9-other|manufacturing_mining|misc,13553.6242743042,0.148282575917971,0.127381821392637,0.724335602689392,0.381029386022605,0.572401353609839,0.0465692603675565,192619.040449159,638651
PL,28,9-other|manufacturing_mining|misc,18986.6563162011,0.150368659079405,0.133417196144653,0.716214144775942,0.382570579274451,0.570373891431716,0.0470555292938334,654859.522657935,4665116
PT,28,9-other|manufacturing_mining|misc,8358.3811918238,0.15435873720784,0.14540234229771,0.700230555657655,0.398604679510723,0.549280798952668,0.0521145215366089,99135.9237092744,675927
RO,28,9-other|manufacturing_mining|misc,5477.159633759,0.16257570034449,0.235708339569559,0.601715957028917,0.394630872550078,0.554508399908109,0.050860727541813,683113.179862185,1434752
SE,28,9-other|manufacturing_mining|misc,15969.177334616,0.133012469650096,0.163420890418787,0.703566639931117,0.395495583420097,0.553370860159687,0.0511335564202164,745278.735836786,459610
SI,28,9-other|manufacturing_mining|misc,1731.48714730556,0.249044664726647,0.107624436679287,0.643330899184196,0.401553256420081,0.545401903067387,0.0530448405125325,13528.0967317775,124032
SK,28,9-other|manufacturing_mining|misc,2956.5885204222,0.243734863576063,0.121425596882348,0.634864705537421,0.395959621600864,0.552760411171811,0.0512799672273251,27113.183160214,319461
GB,28,9-other|manufacturing_mining|misc,32819.358854932,0.22085357756346,0.17778613126028,0.60136029117626,0.422964328672704,0.51723532555788,0.0598003457694155,431326.443856078,2529753
US,28,9-other|manufacturing_mining|misc,271335.70730554,0.181317573904881,0.167767208037771,0.629302306313031,0.399765532962898,0.547753679322597,0.0524807877145055,6834662.39294291,15766226.7635243
AT,19,5-transportation|land,62366.06861389,0.333332416195305,0.148171377968836,0.518501988232526,0.352275449499767,0.604468194687623,0.04325635581261,166155.043792404,1668147
BE,19,5-transportation|land,67300.222584401,0.251064694746362,0.175109477552542,0.573825827701096,0.358233676368012,0.597879623038048,0.0438867005939397,159831.260682447,1413647.94789371
BG,19,5-transportation|land,11812.471669438,0.304763220859466,0.134828921480256,0.56040732992453,0.367602450845069,0.587519688232649,0.044877860922282,98054.1558562256,1672659.88106683
CY,19,5-transportation|land,4168.9875422435,0.172541124595025,0.20922957100349,0.618232293700636,0.362033751567327,0.593677522601441,0.0442887258312322,9489.34463843741,159784
CZ,19,5-transportation|land,44769.282827886,0.245888288597319,0.195297581128271,0.55881413027441,0.354283323045504,0.602247900124844,0.0434687768296529,2864558.25587268,2710229
DE,19,5-transportation|land,509690.90011801,0.30686671957374,0.156258216852989,0.536875063573272,0.348249871610788,0.608919654650291,0.0428304737389215,800751.808209438,12319052.6150904
DK,19,5-transportation|land,46085.90202886,0.325357814714414,0.107169087706163,0.567478391760979,0.360221150757717,0.595681885740052,0.0440969635022311,,953431
EE,19,5-transportation|land,6659.294334649,0.30297922088038,0.159430229229292,0.537599681456105,0.35084361534394,0.606051508336899,0.043104876319161,12434.2631167284,282513.904287035
GR,19,5-transportation|land,26566.153614606,0.381289814725566,0.0832528416397514,0.535439198469184,0.344669782990495,0.612878495243007,0.0424517217664972,61907.3741523412,2465618
ES,19,5-transportation|land,204854.20486781,0.352539228557789,0.074226410570294,0.573234360871917,0.346000217117207,0.611407309139706,0.042592473743087,489386.783444826,8602298
FI,19,5-transportation|land,38155.563082449,0.303513807751339,0.153126886732421,0.54335930551624,0.353109891329145,0.603545473901417,0.0433446347694377,35009.2762872612,952200
FR,19,5-transportation|land,397018.61682403,0.309914425201617,0.131709234355008,0.558376253884299,0.357842312154965,0.59831239124506,0.0438452965999749,714175.737017664,8630449.37879237
HR,19,5-transportation|land,6474.5447301454,0.341266309240931,0.128524702963569,0.530206402394104,0.358971209816255,0.597064062960334,0.0439647272234112,45642.3865027998,769048
HU,19,5-transportation|land,28214.286264336,0.271325170305051,0.168788815580462,0.559886014114487,0.355322185854229,0.601099131841809,0.0435786823039623,34601846.7564821,2103742
IE,19,5-transportation|land,89865.409190025,0.181211965827158,0.379726998940685,0.439059848889023,0.370641256717681,0.584159394866252,0.0451993484160671,107957.248473296,732278
IT,19,5-transportation|land,327095.7588044,0.273451597308308,0.151428883944778,0.575120327139337,0.349972436891513,0.607014852261242,0.0430127108472451,874017.869460073,9703827
JP,19,5-transportation|land,852642.490106744,0.347426888508883,0.11496697977306,0.42585006797955,0.342145681791765,0.615669631258194,0.0421846869500408,28092137.9824731,35631853.015625
LT,19,5-transportation|land,9721.1266151975,0.302472300572143,0.205978285906871,0.491548771293329,0.353362152430179,0.603266525084039,0.0433713224857811,41079.8868809768,1094712.3860902
LU,19,5-transportation|land,15360.861995006,0.30769270100154,0.12266924545925,0.569703656503481,0.366961552501587,0.588228389789253,0.0448100577091601,,
LV,19,5-transportation|land,7675.2554324863,0.330665861176417,0.1816573500952,0.487668221386213,0.347876882247124,0.609332104058708,0.0427910136941673,14807.4254661511,495914.565043485
MT,19,5-transportation|land,2433.4989502081,0.251128310554336,0.0914983389076049,0.657381837832129,0.354198730237425,0.602341442346277,0.0434598274162973,1998.38471882218,96748.1318428953
